"Object id" H D "Capture Date" "Helio x at Capture" "Helio y at Capture" "Helio z at Capture" "Helio vx at Capture" "Helio vy at Capture" "Helio vz at Capture" "Helio q at Capture" "Helio e at Capture" "Helio i at Capture" "Helio Omega at Capture" "Helio omega at Capture" "Helio M at Capture" "Geo x at Capture" "Geo y at Capture" "Geo z at Capture" "Geo vx at Capture" "Geo vy at Capture" "Geo vz at Capture" "Geo q at Capture" "Geo e at Capture" "Geo i at Capture" "Geo Omega at Capture" "Geo omega at Capture" "Geo M at Capture" "Moon (Helio) x at Capture" "Moon (Helio) y at Capture" "Moon (Helio) z at Capture" "Moon (Helio) vx at Capture" "Moon (Helio) vy at Capture" "Moon (Helio) vz at Capture" "Capture Duration" "Spec. En. Duration" "3 Hill Duration" "Number of Rev" "1 Hill Duration" "Min. Distance" "Release Date" "Helio x at Release" "Helio y at Release" "Helio z at Release" "Helio vx at Release" "Helio vy at Release" "Helio vz at Release" "Helio q at Release" "Helio e at Release" "Helio i at Release" "Helio Omega at Release" "Helio omega at Release" "Helio M at Release" "Geo x at Release" "Geo y at Release" "Geo z at Release" "Geo vx at Release" "Geo vy at Release" "Geo vz at Release" "Geo q at Release" "Geo e at Release" "Geo i at Release" "Geo Omega at Release" "Geo omega at Release" "Geo M at Release" "Moon (Helio) x at Release" "Moon (Helio) y at Release" "Moon (Helio) z at Release" "Moon (Helio) vx at Release" "Moon (Helio) vy at Release" "Moon (Helio) vz at Release"
NESC0000001a 37.008092 0.1379442385397728 2460669.804638309 -0.068092689840138 0.9663477243287171 0.0005841208223114625 -0.017726254615535245 -0.0010012199564284768 -0.00010988950551109165 0.9658477982924022 0.03489475034217443 0.35681299886368406 279.5867711622922 150.1342654326759 22.701884872004875 -0.005575674753582893 -0.015197608435548071 0.0006378320415531281 -0.0002730619739570034 0.00015138105830215316 -0.00011057587372024049 0.015795411809416217 0.9997538482059001 160.48084464354298 63.47153257621381 191.4347913811597 359.9999494376733 -0.0648705188007232 0.9802273135444557 -0.0001636055026156687 -0.01717186268645445 -0.001634572252671472 -4.249677174171939e-05 636.3333380743861 664.166671615094 1156.4166752826422 3.3332172897375676 76.12500056717545 0.0024031295402051076 2461778.7213132377 -0.2924937804123396 0.9518518047033562 -0.015854616900021212 -0.016633475332180375 -0.004858177589969292 0.00012790540162797718 0.989040995553769 0.01745912472560673 1.010853226027409 171.55241188136804 242.27908398248815 51.65621541403871 -0.004229774640571615 0.011726118289779208 -0.015793484949165295 8.892974238263601e-05 0.00025354949929582826 0.00012718340603509794 0.01992570217194448 1.0005828846354174 110.81627134559014 81.03962221219545 291.5978659578914 0.00011301787380639078 -0.2867946633271083 0.9421789121424958 0.0001543664767349001 -0.01723078803148593 -0.004796956572081253 -2.367600530483575e-05
NESC000000B3 37.021498 0.1370952368486378 2454895.800025682 -0.9697430084080954 0.2741950022755407 -0.00043248252779770624 -0.004544135041269607 -0.016492709493002647 1.0709783826416339e-05 0.9969162714195688 0.0074801991350507266 0.04335275419847718 198.76514373812157 82.16089043572214 244.05330123973417 -0.01292409599344524 0.012851432676825314 -0.0004284079331758028 0.00026273730291772115 0.0001683861755864824 9.857672809004142e-06 0.0173715944564246 0.9996469024700602 177.94364199023983 94.26938726247828 344.173593036125 359.99987841102336 -0.9567130287375949 0.2638056923547728 0.0001433794793409353 -0.005417626913494403 -0.01664437665654081 -4.165123749074881e-05 348.3333359286189 348.3333359286189 623.500004645437 2.4100791711300107 90.95833401102573 0.0037789090031542624 2455701.0500316815 -0.5338640424877762 -0.8769886829145754 0.00046283269914804137 0.014074412172844403 -0.009360343100586501 8.614625800635808e-06 0.9761176942511419 0.040988362055487705 0.03823287319484583 196.17143001653017 297.94194465435 99.97547617549635 0.0011617595546214998 -0.018396473184002726 0.0004377707625525167 -0.0002398317862740973 -0.00019742905767124522 9.070787899545914e-06 0.012116145791135215 1.0023884855309642 178.26272942247977 325.1509385221817 339.9142526878503 0.008010154800535282 -0.5352103547398013 -0.8610861222734106 3.468468707219538e-05 0.01491477844728077 -0.00924266510704562 5.502575227423257e-05
NESC000000C8 36.509016 0.17358762697858357 2455408.0013466035 0.6219066296310727 -0.7964673460586558 -0.006103962472242375 0.013496664998416914 0.010612514360226515 -4.3577736952857184e-05 1.0097089401602504 0.007490221782713226 0.37585666858149075 60.94033473706256 274.03513260915116 333.3964151682834 0.009793353808591143 0.01340005853137538 -0.0061180585800702705 5.197729241107445e-05 0.0003096557220584658 -4.3126145880724845e-05 0.00405178158644695 0.9998177335142567 29.482221853470918 94.5316101099345 192.52907068377635 0.0007763012119220288 0.6148014129130207 -0.8100769699578398 0.0002510408302083633 0.01347752646936796 0.01086160584644817 1.269519840948712e-05 294.24999890383333 294.24999890383333 429.2083317344077 1.7677932361458442 81.41666636336595 0.000856727389871725 2455702.2513455073 -0.5119463359517604 -0.8539799223390394 0.0030669162328753607 0.014811210047135103 -0.008796420164525358 3.1458633976469245e-05 0.9898398166755384 0.0043746199809181 0.20554103839207838 179.8949233905272 169.45778126150168 250.17620182284256 0.00577442186429955 0.015443285492171555 0.003042391659795187 0.00031616212649424394 7.199037676387972e-05 3.1888455647146556e-05 0.011597086729728676 1.001785981237276 169.54301268639946 160.62949719945468 23.691493422391684 0.0046849295483347925 -0.5171867736668971 -0.8719111760356291 9.950747435215308e-05 0.01508279521037253 -0.008780288316469563 5.219032277080429e-05
NESC000000GM 37.022154 0.13705382674746353 2458665.8841927997 0.15763765385052136 -1.0220704925605 -0.00014960556538967662 0.01656673885304565 0.00289425515976759 -7.081117340485975e-05 0.9988249042597022 0.0230235634749064 0.24159927383818675 96.80180080980078 303.16595980332795 241.07702199826204 -0.0015830488917867314 -0.017900142900546978 -0.0001963670187035778 -0.00015248970350149188 0.0002657867783037739 -7.002932146001059e-05 0.006548880863976243 0.9991804197892898 157.44852004216847 86.45391466908812 287.3979277184142 359.9960271289093 0.159643081579627 -1.001711450220384 -5.836839417121035e-05 0.01611611314953063 0.00270174793718751 5.038786701600685e-05 144.5000010766089 144.5000010766089 207.37500154506415 1.4960021274526474 43.166666988283396 0.0005682815578803768 2458810.509193877 0.47897385837560985 0.8442101470597656 -0.0008450019130818998 -0.0154839652601837 0.008425485320595977 -0.00010834638776741458 0.9637856854096584 0.026211334802436037 0.3565992591767395 232.39032399803 231.6352109535085 318.4475276969707 -0.013030408237754476 -0.01214286965539757 -0.0008018369701750413 -0.0002837517097423192 -8.716967582498257e-05 -0.0001080292553954742 0.004651314097020916 1.0004515095236894 143.4343187746091 46.46036635415963 65.78070446069499 0.0025432488932418842 0.4896134382063538 0.8558570145733408 0.0001773844881704813 -0.01507278160706793 0.007907468579236793 -3.314757377361685e-06
NESC000000J9 36.829602 0.14976197757402226 2459724.619703101 -0.4549124842418088 -0.9204125377164356 -0.0009284655975240752 0.0151515808533274 -0.007366396965446949 -2.969567630750798e-06 0.9945859759196088 0.01654175679892262 0.05285452479140634 345.08735951453633 55.828165597130294 203.52619844901412 -0.004627232396709702 -0.013236635701980304 -0.0009785658651732844 2.077828996450981e-05 0.00035487164605234756 -2.8794681536291347e-06 0.0011355904425227655 0.9998910456250206 164.199470824861 85.00877393512133 341.7980426727964 359.9985098893229 -0.4477055838767609 -0.9070632143799728 -0.0001319803664003884 0.01513638081642173 -0.007136988205495147 3.259339174144076e-05 68.45833384338766 68.45833384338766 147.08333442918956 1.103130904475617 41.41666697524488 0.0006844245039570317 2459793.0780369444 0.6411025471387422 -0.8033622715090663 -1.352292909539976e-05 0.013116061256540003 0.010423927940861243 -1.727777797087566e-05 0.9774820192846597 0.025139018866934 0.05909115925789917 127.8597604794946 5.193802758418025 175.30871023575875 0.0023023635123418096 -0.014600871916834124 -4.753407586649445e-05 2.527588606927346e-05 -0.0003455185744793768 -1.7030480457239082e-05 0.00013346817255755817 1.0000084971332224 151.109521960969 99.2949048403411 11.289280514053448 0.0007900586179080783 0.636195903598665 -0.7884054778100433 0.0002254098848756887 0.01303486115519146 0.01019673950642927 -3.002256270528818e-05
NESC000000MP 36.606747 0.16594820768507368 2460046.5795660825 -0.9398813915351589 -0.3759388126300129 0.004697163518325886 0.006294789486609741 -0.01583975804814748 -0.0001958667869994121 0.9997950104483716 0.0063985365629097 0.710571578395879 43.771548854144484 357.7608200193069 160.01810238783105 -0.008040039675216493 -0.007158030624174971 0.004670334800095901 0.0002501578272248346 0.0002237228028359184 -0.00019698873621617425 0.0001721775584498817 0.9999906904336032 90.83922369978087 41.31447644564379 322.6307190655413 359.99955890009096 -0.9316455293718628 -0.3712593541922177 -0.0001732089817529524 0.006647187615648483 -0.01599883305785887 -2.480347771604969e-05 85.29166634893045 85.29166634893045 174.20833268435672 1.1688661270035763 38.29166652401909 0.0005133492516189473 2460131.8712324314 0.23427981811094767 -1.0017556402012124 0.01096714925187603 0.016372409735627758 0.003724033171104839 -6.555568223412219e-05 0.9880329635359129 0.020677588157308812 0.6517266563179551 172.7406949861817 307.07450447822004 162.65746280060475 -0.007219291139696132 -0.01417436599301014 0.010914243968389518 -5.5190768224942094e-05 -0.000291352792833217 -6.500769054322676e-05 0.011089882005125368 1.0002016254820252 72.69072945841702 75.35609963797728 62.27474932162402 0.0002486424079859367 0.2434573560453834 -0.9889872698336212 -0.0001414600854137266 0.0168065482836015 0.004514606487710868 2.020868014224525e-05
NESC000000ru 37.027421 0.13672179961445247 2457310.4911031546 0.9133630301897288 0.3565794880175558 0.002383231649972145 -0.006424085306271437 0.01630634779070243 -4.041542650433036e-06 0.9802382415333175 0.01805765888598717 0.13984987929262535 286.08142033804677 105.25951194689596 350.3399818744368 -0.01719529171472778 -0.002382711347527988 0.002402542709431959 5.2530365006398655e-05 0.00031404543763405984 -3.0427930552859433e-06 0.015975914419325502 0.9993677741841943 171.89822875852013 264.35326022911687 111.19272774079492 359.9995857861094 0.928587897108341 0.3571365663967469 0.0001463486881782739 -0.006080794911805055 0.0155896271835948 3.651236224546589e-05 198.1666659284383 198.1666659284383 277.6666656322777 1.42720362184368 46.20833316119388 0.0030559605787133155 2457508.657769083 -0.7819654017509462 -0.6614581406095121 0.003084748270538784 0.01047777628299542 -0.013153072680044474 -6.116920020773561e-05 0.9665729896110932 0.036262517194842143 0.2745842695997986 79.16406175875404 13.607836464278822 124.10182755133023 -0.010392883551865517 -0.013758044411526948 0.003059046143742228 -0.00029848761621575036 9.30145789240968e-05 -6.21268967753988e-05 0.01601522566077878 1.0017939068307864 161.88391639771638 20.092924283765605 111.84247098875996 0.001938620016576965 -0.7699291336557936 -0.6496479093454747 0.0001735527233187027 0.01120469418460693 -0.01283936925190262 -4.166762861410026e-05
NESC000000wl 36.920614 0.1436147895634964 2456989.5388372447 0.4110258090246107 0.908764698920955 0.003959632214299569 -0.0158785097883425 0.006766058384084523 -0.00023965224204712228 0.9792751247629042 0.022413981769558423 0.8227521749767275 261.7114605335948 244.10542060540288 282.36792460666186 0.0018284722808565301 0.010938307700037009 0.0039924718463950366 6.112946934551736e-05 -0.0002990804606219366 -0.00023978499487787008 0.002242026785234923 0.9996866904127436 127.51181572007924 244.46705443284634 283.0248917671256 359.9977563069261 0.4110084831775231 0.896154884023762 0.0001603938556912878 -0.01552333059063706 0.007512735305292799 -2.668736947335697e-05 165.29166789818555 165.29166789818555 334.8750024950132 1.2537878750035358 48.583333695307374 0.0028194701787487334 2457154.830505143 -0.6514885011355795 -0.7779216389410981 -0.0023054167546240345 0.013012829564348165 -0.01101972847831584 -0.0002578895376815389 1.0057272124754177 0.006144549383173795 0.8754919636067006 41.50430249040127 71.99551418916577 115.92477104030085 -0.016868304639917175 0.007970852665833306 -0.002331950081991577 -8.94834710238341e-05 -0.0001400108343320803 -0.00025876210693904583 0.018243208436034712 1.0005724271497918 57.32230210809211 330.1090363308811 168.6235124228302 0.00019612402330046675 -0.6324282614546707 -0.7870212351267545 0.0001587777473642551 0.01337075910057701 -0.01033106857762016 -4.447957779568334e-05
NESC0000015P 36.418556 0.18097174172730773 2459528.3602007055 0.6842174657100991 0.7380732129378755 -0.0070977087301133945 -0.012812009240845334 0.011305725906445513 -6.408361277213809e-05 0.9740628681009242 0.02546278102104344 0.4624125234220817 166.2639776260019 348.1375171771776 255.57020912163955 0.013426170075444666 0.009399998645776675 -0.007062334042459294 0.00013180791089830585 -0.0002792669814631662 -6.399709195370907e-05 0.017754688325954397 0.9971561404258356 152.69909878325825 271.59425084658756 247.86354471321926 359.99911331434237 0.671871161095769 0.7264521546900119 -0.0002211265848257919 -0.01238257454567834 0.01182369255981738 -3.517779789667118e-05 469.20833682920784 469.20833682920784 629.333338022232 2.6853138336527884 98.95833407063037 0.004615972674868061 2459794.2768693534 0.6430704118755717 -0.7664656685088602 -0.004066756497210056 0.013127592819703202 0.01119684172076037 0.00015642153044121473 0.9966177879583534 0.010517233570516376 0.5675242804556871 334.2236457950142 27.019649346015303 309.6877953262193 -0.011291294016645637 0.009225385180155143 -0.004100541586746235 0.0002581214618737823 0.00016193762745954007 0.00015655572387954998 0.012753337121102137 1.0000508824216265 152.148086362024 108.59392729618766 11.42828450342211 359.99998646341254 0.651783532679249 -0.7760253569590305 0.0001830802492776125 0.01296967382962917 0.0104629873981295 -4.023771490153199e-05
NESC000001FH 36.609167 0.1657633695240534 2457947.424336048 0.37330741419893854 -0.9548271612593608 -0.01118086866787582 0.01577492243685224 0.006175757763757608 0.00018053313159405605 1.0139486750225082 0.0055663006234259295 0.8733885453935718 337.0293505578096 128.47435315428166 185.9121545000319 0.01739398667697306 -0.0026498040547743296 -0.011219248500776347 -5.7541193254830036e-05 0.00022222059735623172 0.00018022246073664663 0.013527547479719427 0.9998494707641644 40.78329958261742 38.99812039529236 17.357652040063112 359.9998698215296 0.3582478989797752 -0.9533632067967612 1.786429668163726e-06 0.01607139113645185 0.006479558324986264 -5.135233546930592e-05 577.9166645137593 577.9166645137593 682.2499974584207 2.169617724771323 323.83333212696016 0.001184198742696183 2458525.3410005616 -0.7814304180646019 0.6207882426269372 -0.0078028590798609465 -0.011182393517080313 -0.013361990029917715 -0.00023727612198538774 0.9867372479765345 0.0351612858153616 0.8899604916587472 291.3160149184102 162.03965785611055 45.23227864447345 -0.008721378178846662 0.006993619500655579 -0.007780162315845367 -0.00020398361418972298 0.00017997194518171514 -0.0002378821262028059 0.00018432405581628522 1.000016088327893 104.46911218731837 331.6197129178875 49.51790285831637 0.001129074206798393 -0.7703623318784157 0.6149894048587183 -0.0002642285518933992 -0.01126285042141861 -0.01304571327852444 3.901639603573173e-06
